YearMonth,Year,Month,MonthName,TotalRevenue,TotalOrders,TotalCustomers,CancellationCount,CancellationRate
2009-12,2009,12,Dec,822370.45,1677,954,1013,0.3766
2010-01,2010,1,Jan,651065.11,1101,719,686,0.3839
2010-02,2010,2,Feb,551504.72,1201,772,575,0.3238
2010-03,2010,3,Mar,830915.26,1681,1057,841,0.3335
2010-04,2010,4,Apr,678852.75,1461,942,626,0.3
2010-05,2010,5,May,657705.5,1500,966,981,0.3954
2010-06,2010,6,Jun,749537.3099999999,1645,1041,790,0.3244
2010-07,2010,7,Jul,648810.27,1529,928,734,0.3243
2010-08,2010,8,Aug,695251.91,1425,911,571,0.2861
2010-09,2010,9,Sep,921696.99,1839,1145,807,0.305
2010-10,2010,10,Oct,1161902.22,2301,1497,1033,0.3098
2010-11,2010,11,Nov,1464293.14,2747,1607,1192,0.3026
2010-12,2010,12,Dec,821452.73,1559,885,719,0.3156
2011-01,2011,1,Jan,689811.61,1086,741,700,0.3919
2011-02,2011,2,Feb,522545.56,1100,758,470,0.2994
2011-03,2011,3,Mar,716215.26,1454,974,696,0.3237
2011-04,2011,4,Apr,536968.49,1246,856,558,0.3093
2011-05,2011,5,May,769296.61,1681,1056,621,0.2698
2011-06,2011,6,Jun,760547.01,1533,991,709,0.3162
2011-07,2011,7,Jul,718076.12,1475,949,684,0.3168
2011-08,2011,8,Aug,757841.38,1361,935,667,0.3289
2011-09,2011,9,Sep,1056435.19,1837,1266,801,0.3036
2011-10,2011,10,Oct,1151263.73,2040,1364,1194,0.3692
2011-11,2011,11,Nov,1503866.78,2769,1664,1073,0.2793
2011-12,2011,12,Dec,637808.33,819,615,359,0.3048
