StockCode,Description,TotalQuantity,TotalRevenue,TotalOrders,AvgUnitPrice
M,Manual,9634,339241.29,788,392.01890716803763
22423,REGENCY CAKESTAND 3 TIER,26478,330590.32,3918,14.190417721518987
DOT,DOTCOM POSTAGE,1415,309854.11,1415,218.9781696113074
85123A,WHITE HANGING HEART T-LIGHT HOLDER,94658,260990.22,5455,3.136718443135155
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,2.08
47566,PARTY BUNTING,28200,148318.28,2674,5.718177449168207
85099B,JUMBO BAG RED RETROSPOT,77699,148073.47,3269,2.384746376811594
84879,ASSORTED COLOUR BIRD ORNAMENT,80082,129324.49,2807,1.8590344101123595
POST,POSTAGE,5363,125682.42,1851,29.466515397082656
22086,PAPER CHAIN KIT 50'S CHRISTMAS,35084,117760.29,2018,3.3699274661508705
23166,MEDIUM CERAMIC TOP STORAGE JAR,78033,81700.92000000001,247,1.46848
79321,CHILLI LIGHTS,15841,80540.88,1135,6.290666082383875
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,31409,71300.4,756,3.3425352112676054
85099F,JUMBO BAG STRAWBERRY,37061,69002.13,1855,2.331125333333333
23084,RABBIT NIGHT LIGHT,30739,66870.03,994,2.386401179941003
21137,BLACK RECORD COVER FRAME,18739,65189.29,634,4.146305031446541
21931,JUMBO STORAGE BAG SUKI,29182,61537.55,2329,2.533375850340136
21621,VINTAGE UNION JACK BUNTING,6900,60286.04,1292,9.307857689364958
15056N,EDWARDIAN PARASOL NATURAL,11459,60145.85,1149,7.393503460207613
22114,HOT WATER BOTTLE TEA AND SYMPATHY,11677,59189.14,1583,4.774289292423294
85099C,JUMBO  BAG BAROQUE BLACK WHITE,30657,59142.78,1878,2.4224566017885323
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,18634,58652.7,1427,3.300415224913495
22112,CHOCOLATE HOT WATER BOTTLE,11065,57981.94,1721,5.849994269340974
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,27281,57318.71,2192,2.4509913988229965
82484,WOOD BLACK BOARD ANT WHITE FINISH,9831,56745.73,1176,7.810832625318607
22470,HEART OF WICKER LARGE,17773,53506.13,1952,3.2125426278836513
22178,VICTORIAN GLASS HANGING T-LIGHT,40081,52382.82,1816,1.5693047256925585
